"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"B189",128536,76253,75968,75873,56264,53674
"B190",207621,135173,134812,133893,90618,85162
"B191",125815,68103,67999,68062,24321,23738
"B192",201604,132864,132137,132590,86124,83291
"C193",151627,89224,88853,88892,44084,40671
"C194",104293,59695,59376,59504,32414,30815
"C195",166489,95594,94959,95283,69161,55929
"C196",163452,97029,96523,96457,55671,51366
"C197",111788,49747,49608,49572,12061,11603
"C198",164645,96194,95675,95826,46443,44651
"C199",140346,92228,91503,91801,66597,53138
"C200",55022,15363,15326,15314,184,169
"C201",55986,18599,18556,18599,0,0
"C203",325891,254825,254538,254148,226365,209667
"C205",297231,231176,230977,230841,212480,194864
"C206",373363,299218,299003,298906,282915,264959
"C207",494157,404361,404121,404008,380285,350260
"C208",442519,364912,364899,364394,336565,336179
"C209",453025,370211,369577,369240,333603,332955
"C210",411492,343055,342971,342931,328484,328190
"C211",477122,398506,398422,397883,375397,375083
"C212",565220,475483,475358,474236,449299,448746
"C213",375765,286153,285946,286113,265349,263753
"C214",438512,350683,350580,350483,330397,316426
"C215",610954,500192,499746,499250,468894,449533
"C216",524567,438707,438590,438694,418599,418160
"C217",566074,478150,478146,477663,455479,455012
"C218",8336,7003,6994,6999,6857,6857
"C219",757575,634467,633511,633768,599465,596819
"C220",534053,438311,438125,437591,416461,397281
"C221",540047,451605,451237,450859,428660,409990
"C222",244238,179759,179521,179441,161417,157349
"C223",276312,212096,211923,211916,185935,180185
"C224",639619,541312,539610,541155,514471,513828
"C225",692208,576749,576640,575183,549344,548688
"C226",386149,311812,311756,311457,293940,293448
"C227",399546,321117,320998,321029,300481,299929
"C228",357438,282580,282402,282436,268177,258663
"C229",373737,302678,302486,302212,287402,276481
"C230",606914,509965,509907,508894,482714,469136
"C231",534264,443364,443140,442744,419672,405173
"C232",286680,214884,214174,214653,182299,175329
"C233",661643,556819,556803,556146,530838,530309
"C234",476696,397249,397178,397197,380779,380500
"C235",599602,498773,498700,498046,474086,473527
"C236",636917,538932,538775,538867,512685,512096
"C237",382673,299954,299616,299691,276120,269115
"C238",329924,237206,237081,237040,223199,213175
"C239",398874,298005,297851,297503,280572,267888
"C240",434142,360300,360261,359876,343931,343569
"C241",575635,485488,484862,485351,460357,459700
"C242",523833,438671,438489,438008,414917,401071
"C243",398748,332561,332188,332136,315781,303098
"C244",293971,239800,239652,239702,226377,214095
"C245",400054,326015,325897,325353,301366,285020
"C246",439035,346213,345922,345772,314245,299306
"C247",311416,242853,242557,242237,218203,209170
"C248",433901,365723,365710,365164,345565,345143
"C249",469728,389202,389138,388503,363209,362483
"C250",352532,288067,287500,287681,272071,243024
"C251",358515,290262,289868,289851,271395,242676
"C252",343875,21957,21948,21948,15724,15365
"C253",279623,225567,225382,225363,203989,196266
"C254",698131,592890,592858,592755,566439,565782
"C255",605156,511535,511526,510962,487445,486868
"C256",499015,417263,417102,417121,393458,393071
"C257",427943,344059,343937,343907,324748,324415
"C258",196354,147936,147469,147443,130046,120381
"C259",156460,109325,108815,109102,92617,85930
"C260",356529,289320,289017,288706,270045,257807
"C261",483520,399295,398913,398875,376817,356515
"C262",601884,511492,511437,511329,486129,483410
"C263",583969,486403,486361,485761,455812,453211
"C264",215284,173783,173410,173669,163841,160967
"C265",338089,277784,277595,277251,254174,248007
"C266",661724,559584,559481,559493,535786,535240
"C267",547115,459216,458940,459144,440799,440358
"C268",592568,496804,496717,496696,469722,469279
"C269",438563,362185,361538,361579,343426,343108
"C270",526816,438102,438062,437049,411943,408420
"C271",518663,435795,435622,434295,408315,404768
"C272",183139,111939,111807,111575,71011,69916
"C273",167323,113063,112944,112760,84784,82066
"C274",584554,492235,492178,491639,468742,464367
"C275",501100,416427,416318,416330,398304,394872
"C276",321412,241105,241035,240929,208761,204729
"C277",320336,241626,241552,241292,205702,202188
"C278",381604,301412,300827,300619,271791,251627
"C279",346954,271465,271142,271299,253286,239610
"C280",418181,340053,339769,339698,313942,291613
"C281",538989,445353,444990,444000,415332,387157
"C282",414664,332531,332318,332471,317003,314247
"C283",643723,542121,542032,540886,518009,510990
"C284",555632,464452,464180,464288,436649,427522
"C285",526061,439047,438939,438973,415098,405428
"C286",365956,291680,291049,291458,271537,233265
"C287",99189,49004,48890,48970,14560,13607
"C288",277025,205433,204664,204008,170118,149207
"S004",706617,581338,580487,572508,431777,368308
"S016",227824,149232,142144,143957,103648,98665
"S019",110523,70149,70016,65537,49847,47740
"S020",127645,87859,86654,86544,64210,59337
"S037",120087,83127,82927,80476,76552,74815
"S038",92998,71969,71805,71865,44360,41515
"S039",138606,95360,95194,93196,80059,75778
"S042",117004,88624,87574,88337,68809,67275
"S063",474640,404969,403954,404432,348802,328574
"S104",149510,102327,102264,101409,86409,86032
"S105",219827,151148,150813,150723,125145,119838
"S106",110302,48971,48845,48719,18509,18378
"S112",312870,191308,190471,191051,166693,159093
"S113",242509,175581,175346,175062,141607,137871
"S117",362860,287256,286940,286767,252121,241673
"S122",137052,76442,76312,76193,44509,44045
"S124",270080,193252,192652,192943,169111,156700
"S125",158077,105713,105508,105472,94334,87801
"S127",280649,216455,215439,215732,193400,179312
"S131",272128,197873,197507,197377,168511,164679
"S133",251497,182251,181861,181856,153286,144643
"S141",131171,58018,57902,57818,25299,20372
"S179",110838,66502,66342,66362,42681,41659
"S185",233631,150464,149714,149865,107573,102407
"S186",8529,3626,3605,3610,112,112
"S202",58261,25431,25027,25297,8,8
"S204",286534,224420,224089,224081,206275,191887
"S218",54369,50954,50935,50885,50750,50738
"S289",274724,175999,175273,175105,153316,129302
"S290",437979,319352,318579,318767,290070,250860
"S291",241022,172866,172470,172444,159704,135721
"S292",286525,212472,211986,212132,193358,173944
"S293",390310,300571,299978,299985,279538,241576
"S294",425390,273142,272114,272834,233770,218706
"S295",292885,221872,220801,221409,197842,175254
"S296",329512,257925,257487,257561,235999,206260
"S297",363763,269154,268057,268515,248771,203263
"S298",471554,364992,363757,364079,329158,278164
"S299",243151,189702,189282,189368,172201,152664
"S300",197211,155842,155293,155611,143765,120841
"S301",409094,315462,314207,314850,282642,252388
"S302",296747,138349,137466,137937,118881,97839
"S302NextSeq",29606,10833,10705,10746,9320,8342
"S303",394227,300872,300104,300502,274962,273454
"S92-2",237996,188661,187755,180680,168738,155172
